Discipline,Publication Year,Life Sciences,Physics,Chemistry,Total citations after 10 years,Authors,Title,Journal,Vol/Issue/Page,Nobel Year,Laureate1,Laureate2,Laureate3
Chemistry,1973,2,98,218,328,"P. C. Harihara, J. A. Pople",The influence of polarization functions on molecular orbital hydrogenation energies,Theoretica  chimica acta,28: 213-222,1998,J.A. Pople,,
Physics,1973,4,848,25,915,"Kosterlitz, John Michael, and David James Thouless"," Ordering, metastability and phase transitions in two-dimensional systems.",Journal of Physics C: Solid State Physics ,6.7: 1181.,2016,J.M Kosterlitz,D.J. Thouless,
Physics,1983,1,353,9,377,"Haldane, F. Duncan M.   ",Continuum dynamics of the 1-D Heisenberg antiferromagnet: identification with the O (3) nonlinear sigma model.,Physics Letters A,93.9: 464-468.,2016,F. Haldane,,
Physics,1998,2,1987,4,2108,Y. Fukuda et al,Evidence for Oscillation of Atmospheric Neutrinos,Phys. Rev. Lett.,"81, 1562",2015,Kajita,McDonald,
Physics,2001,0,933,2,977,"Ahmad, Q. R., Allen, R. C., Andersen, T. C., Anglin, J. D., B??hler, G., Barton, J. C., ... & Black, R. A.",Measurement of the Rate of ?? e+ d??? p+ p+ e??? Interactions Produced by B 8 Solar Neutrinos at the Sudbury Neutrino Observatory.,Physical Review Letters,"87(7), 071301.",2015,Kajita,McDonald,
Physics,2002,0,1126,1,1183,"Ahmad, Q. R., Allen, R. C., Andersen, T. C., Anglin, J. D., Barton, J. C., Beier, E. W., ... & Blevis, I.",Direct evidence for neutrino flavor transformation from neutral-current interactions in the Sudbury Neutrino Observatory.,Physical Review Letters,"89(1), 011301.",2015,Kajita,McDonald,
Physics,1995,0,70,20,119,"Akasaki, I., Amano, H., Sota, S., Sakai, H., Tanaka, T., & Koike, M.",Stimulated emission by current injection from an AlGaN/GaN/GaInN quantum well device.,Japanese journal of applied physics,"34(11B), L1517.",2014,I. Akasaki,H. Amano,
Physics,1996,0,102,14,159,"Nakamura, S., Senoh, M., Nagahama, S. I., Iwasa, N., Yamada, T., Matsushita, T., ... & Sugimoto, Y.",InGaN multi-quantum-well-structure laser diodes with cleaved mirror cavity facets.,Japanese journal of applied physics,"35(2B), L217.",2014,S. Nakamura,,
Physics,1964,0,74,0,75,F. Englert and R. Brout.,Broken Symmetry and the Mass of Gauge Vector Mesons,Phys. Rev. Lett., 13: 321-323,2013,F. Englert,,
Physics,1964,0,81,0,81,P. W. Higgs,Broken Symmetries and the Masses of Gauge Bosons,Phys. Rev. Lett.,13: 508-509,2013,P.W. Higgs,,
Physics,1996,1,584,4,644,"M. Brune, F. Schmidt-Kaler, A. Maali, J. Dreyer, E. Hagley, J. M. Raimond, S. Haroche",Quantum Rabi Oscillation: A Direct Test of Field Quantization in a Cavity,Phys. Rev. Lett.,76: 1800-1803,2012,S. Haroche,,
Physics,1996,0,466,5,512,"D. M. Meekhof, C. Monroe, B. E. King, W. M. Itano, D. J. Wineland",Generation of Nonclassical Motional States of a Trapped Atom,Phys. Rev. Lett.,76: 1796-1799,2012,D.J. Wineland,,
Physics,1999,1,3645,1,3815,"S. Perlmutter, et al.",Measurement of Ω and Λ from 42 high-redshift supernovae,Astrophys. J.,517(2): 565-586,2011,S. Perlmutter,,
Physics,1998,1,3143,1,3285,"A. G. Riess, …, B. P. Schmidt, …, J. Tonry",Observational Evidence from Supernovae for an Accelerating Universe and a Cosmological Constant,Astrophys. J.,116(3): 1009-1038,2011,B.P. Schmidt,A.G. Riess,
Physics,1970,0,81,2,239,"W. S. Boyle, G. E. Smith",Charge Coupled Semiconductor Devices,Bell System Technical Journal,49: 587-593,2009,W.S. Boyle,G.E. Smith,
Physics,1960,0,174,0,178,Y. Nambu,Axial Vector Current Conservation in Weak Interactions,Phys. Rev. Lett.,4: 380-382,2008,Y. Nambu,,
Physics,1961,0,172,0,180,"Y. Nambu, G. Jona-Lasinio",Dynamical Model of Elementary Particles Based on an Analogy with Superconductivity. I,Phys. Rev.,122: 345-358,2008,Y. Nambu,,
Physics,1973,0,692,0,701,"M. Kobayashi, T. Maskawa",CP Violation in the Renormalizable Theory of Weak Interactions,Progr. Theor. Phys. ,49: 652-657,2008,M. Kobayashi,T. Maskawa,
Physics,1988,0,1225,39,1690,"M. N. Baibich, J. M. Broto, A. Fert, F. Nguyen Van Dau, F. Petroff, P. Etienne, G. Creuzet, A. Friederich, J. Chazelas",Giant Magnetoresistance of (001)Fe/(001)Cr Magnetic Superlattices,Phys. Rev. Lett.,61: 2472-2475,2007,A. Fert,,
Physics,1986,0,350,8,446,"P. Grünberg, R. Schreiber, Y. Pang,  M. B. Brodsky, H. Sowers ",Layered Magnetic Structures: Evidence for Antiferromagnetic Coupling of Fe Layers across Cr Interlayers,Phys. Rev. Lett.,57: 2442-2445,2007,P. Grünberg,,
Physics,1990,0,264,1,294,J. C. Mather et al,A preliminary measurement of the cosmic microwave background spectrum by the cosmic background explorer (cobe) satellite,Astrophysical Journal,354: L37-L40,2006,J.C. Mather,,
Physics,1963,1,120,4,149,R. J. Glauber,The Quantum Theory of Optical Coherence,Phys. Rev.,130: 2529-2539,2005,R.J. Glauber,,
Physics,2000,1,324,3,388,"S. A. Diddams, D. J. Jones, J. Ye, S. T. Cundiff, J. L. Hall, J. K. Ranka, R. S. Windeler, R. Holzwarth, T. Udem, T. W. Hänsch",Direct Link between Microwave and Optical Frequencies with a 300 THz Femtosecond Laser Comb,Phys. Rev. Lett.,84: 5102-5105,2005,J.L. Hall,,
Physics,2000,0,99,1,118,"J. Reichert, M. Niering, R. Holzwarth, M. Weitz, Th. Udem, T. W. Hänsch ",Phase Coherent Vacuum-Ultraviolet to Radio Frequency Comparison with a Mode-Locked Laser,Phys. Rev. Lett.,84: 3232-3235,2005,T.W. Hänsch,,
Physics,1973,0,757,0,782,"D. J. Gross, F. Wilczek",Ultraviolet Behavior of Non-Abelian Gauge Theories,Phys. Rev. Lett.,30: 1343-1346,2004,H.D. Politzer,,
Physics,1973,0,823,1,847,H. D. Politzer,Reliable Perturbative Results for Strong Interactions,Phys. Rev. Lett.,30: 1346-1349,2004,F. Wilczek,,
Physics,1957,0,97,3,114,A. A. Abrikosov,Magnetic properties of superconductors of the second group,Sov. Phys. JETP, 5: 1174,2003,A.A. Abrikosov,,
Physics,1972,0,63,0,69,A. J. Leggett,Interpretation of Recent Results on He3 below 3 mK: A New Liquid Phase?,Phys. Rev. Lett.,29: 1227-1230,2003,A.J. Leggett,,
Physics,1968,1,107,1,133,"R. Davis, Jr., D. S. Harmer, K. C. Hoffman",Search for Neutrinos from the Sun,Phys. Rev. Lett.,20: 1205-1209,2002,R. Davis Jr.,,
Physics,1987,0,466,2,521,"K. Hirata, …, M. Koshiba, …",Observation of a neutrino burst from the supernova SN1987A,Phys. Rev. Lett.,58: 1490-1493,2002,M. Koshiba,,
Physics,1962,0,67,0,100,"R. Giacconi, …",Evidence for X-rays from sources outside the solar system,Phys. Rev. Lett.,9: 439-443,2002,R. Giacconi,,
Physics,1995,3,2231,23,2512,"M. H. Anderson, J. R. Ensher, M. R. Matthews, C. E. Wieman, E. A. Cornell",Observation of Bose-Einstein Condensation in a Dilute Atomic Vapor,Science,269: 198-201,2001,E.A. Cornell,,
Physics,1995,1,1830,10,2011,"K. B. Davis, M. O. Mewes, M. R. Andrews, N. J. van Druten, D. S. Durfee, D. M. Kurn, W. Ketterle ",Bose-Einstein Condensation in a Gas of Sodium Atoms,Phys. Rev. Lett.,75: 3969-3973,2001,W. Ketterle,,
Physics,1971,0,130,0,133,G.'t Hooft,Renormalizable Lagrangians for massive Yang-Mills fields,Nuclear Physics B,35(1): 167-188,1999,G. 't Hooft,,
Physics,1983,1,677,23,730,R. B. Laughlin,Anomalous Quantum Hall Effect: An Incompressible Quantum Fluid with Fractionally Charged Excitations,Phys. Rev. Lett.,50: 1395-1398,1998,R.B. Laughlin,,
Physics,1982,0,515,28,576,"D. C. Tsui, H. L. Stormer, A. C. Gossard",Two-Dimensional Magnetotransport in the Extreme Quantum Limit,Phys. Rev. Lett.,48: 1559-1562,1998,H.L. Störmer,D.C. Tsui,
Physics,1985,0,163,1,183,"S. Chu, L. Hollberg, J. E. Bjorkholm, A. Cable, A. Ashkin",Three-dimensional viscous confinement and cooling of atoms by resonance radiation pressure,Phys. Rev. Lett.,55: 48-51,1997,S. Chu,,
Physics,1988,0,298,3,323,"A. Aspect, E. Arimondo, R. Kaiser, N. Vansteenkiste, C. Cohen-Tannoudji",Laser Cooling below the One-Photon Recoil Energy by Velocity-Selective Coherent Population Trapping,Phys. Rev. Lett.,61: 826-829,1997,C. Cohen-Tannoudji,,
Physics,1988,0,184,2,202,"P. D. Lett, R. N. Watts, C. I. Westbrook, W. D. Phillips, P. L. Gould, H. J. Metcalf",Observation of Atoms Laser Cooled below the Doppler Limit,Phys. Rev. Lett.,61: 169-172,1997,W.D. Phillips,,
Physics,1972,0,111,0,122,"D. D. Osheroff, R. C. Richardson, D. M. Lee",Evidence for a New Phase of Solid He3,Phys. Rev. Lett.,28: 885-888,1996,D.M. Lee,,
Physics,1975,0,410,0,422,"M. L. Perl, et al.",Evidence for Anomalous Lepton Production in e+-e- Annihilation,Phys. Rev. Lett.,35: 1489-1492,1995,M.L. Perl,,
