rank,PubYear,Life Sciences,Physics,Chemistry,Computers,Engineering,Mathematics,Agriculture & Environment,Humanity,Others,Sums of cits
85,1985,3841.683333,1.166666667,45.93333333,0.5,52.08333333,1,38.3,1.833333333,303.5,4286
86,2001,3965.783333,1.916666667,18.41666667,1.066666667,62.41666667,0.733333333,133.5833333,7.25,70.83333333,4262
87,1982,3708.8,0,4.5,0,3.75,0,7.95,0,517,4242
88,1987,3839.625,1.666666667,23.33333333,1.333333333,8.5,0.25,6,4.541666667,274.75,4160
89,1999,111.3833333,192.7,3390.05,4,418.3666667,3.666666667,28,1,8.833333333,4158
90,1994,3788.3,1.333333333,12.45,0.5,27.66666667,0,76.91666667,53.66666667,162.1666667,4123
91,1985,410.3857143,281.602381,3171.12381,19.95952381,155.0238095,25.61904762,30.78571429,1.5,19,4115
92,1971,3750.183333,1,94.25,0,29.9,0,19.66666667,0,191,4086
93,2000,3508.433333,1.5,2,12.55,4.25,30.81666667,440.2,9.5,87.25,4096.5
94,1988,3776.277778,1.5,25.99444444,0.5,15.08333333,0.5,13.91111111,2.733333333,256.5,4093
95,2001,2.5,3097.4,288.3333333,6.2,567.3333333,18.83333333,1,0,60.4,4042
96,2002,80.8,868.2,1563.25,3,1432.35,11.16666667,24.23333333,1.5,49.5,4034
97,2000,3973.833333,0,3.083333333,0,11.66666667,1,5.583333333,1.833333333,8,4005
98,1987,7.416666667,2748.404762,426.4404762,0.5,650.9880952,5.166666667,39.25,2.833333333,109,3990
99,1988,3655.483333,0,20.43333333,0,7.416666667,0,3.666666667,0,274,3961
100,1987,3638.322222,0.5,30.27222222,0,1.666666667,0,8.988888889,0.25,273,3953
101,1997,3910.05,1,8.833333333,3.666666667,12.5,0.45,2.333333333,11.16666667,2,3952
102,1994,3742.433333,4.916666667,63.66666667,0.5,42.65,0,3.333333333,1,85.5,3944
103,2001,3582.683333,1.75,10.03333333,2.033333333,14.75,3.833333333,177.1666667,1.5,89.25,3883
104,1997,3614.733333,1.5,31.78333333,1.583333333,27.83333333,1.833333333,14.73333333,1,153,3848
105,2002,3793.05,0,8,0,27.16666667,2.783333333,4,0,8,3843
106,1996,3528.683333,2,12.18333333,5.533333333,6.25,7.2,179.0666667,0.333333333,51.75,3793
107,1975,3367.516667,1.5,32,0,58.65,0,10.16666667,1,270.1666667,3741
108,1998,3705.233333,0,25.41666667,5.416666667,11.7,5.566666667,0.833333333,6.333333333,23.5,3784
109,1994,3695.066667,0.5,11.78333333,2.5,41.91666667,1.65,7.25,2.333333333,11,3774
110,1993,3282.838095,4.5,28.76904762,37.5,10.67619048,6.083333333,5.916666667,103.2,269.5166667,3749
111,1995,3526.883333,3.5,35.58333333,0.333333333,36.08333333,1,16.7,1.916666667,117,3739
112,2002,3181.55,33.83333333,286,4.666666667,40.28333333,0.333333333,4.833333333,16.5,156,3724
113,2001,9.833333333,35.73333333,3433.45,0.25,209.4,0.333333333,0,0,14,3703
114,1990,2906.839683,0.25,20.19444444,0.5,8.345238095,2.666666667,674.2039683,3.5,80.5,3697
115,1993,3485,0.333333333,30.53333333,20.16666667,114.6833333,2.2,3,9.083333333,31,3696
116,1994,3609.9,0,0.2,1.2,56.7,0,1,0,11,3680
117,1990,3459.52619,1,8.083333333,2.035714286,30.73333333,3.554761905,25.56666667,1.5,111,3643
118,1995,3549.616667,0.5,10.11666667,1.166666667,40.15,1.2,8.083333333,2.5,16.66666667,3630
119,1990,3369.461111,0.5,46.73333333,1.916666667,10.76666667,0,3.122222222,0,198.5,3631
120,1983,44.25,15.41666667,3397.416667,0.5,93.08333333,0,54.33333333,0,24,3629
121,1993,128.7833333,1054.35,2138.738095,42.81666667,148.5619048,49,28,2,16.75,3609
122,1997,3126.233333,5.333333333,236.3666667,3.8,6.333333333,0.933333333,0,0,230,3609
123,1984,3262,0,6.916666667,0,11.58333333,0,10.16666667,0.5,305.8333333,3597
124,1990,34.83333333,1483.944444,1390.102381,6.083333333,461.3698413,19.75,6.583333333,6.833333333,172.5,3582
125,2002,558.1,26.45,2854.133333,6.033333333,89.61666667,0.333333333,2.833333333,1,42.5,3581
126,1987,3328.419841,0.5,53.38174603,0,10.56666667,0,45.7984127,0,134.3333333,3573
127,1982,3204.666667,0,20.16666667,0.5,2.333333333,0,14.83333333,1,295.5,3539
128,2001,3254.533333,6.75,54.91666667,5.066666667,17.5,2.4,11.16666667,9.166666667,176.5,3538
129,1985,3165.266667,0,31.3,0,1.833333333,0,6.85,0.25,332.5,3538
130,1975,2696.184921,0.833333333,139.6388889,0,79.41428571,4.5,460.9285714,4.5,119,3505
131,1987,3242.327778,1.5,80.68015873,0.5,8.25,0,46.24206349,0,150.5,3530
132,1996,3458.383333,0,4.916666667,1.333333333,35.5,1.2,6.666666667,1.833333333,8.166666667,3518
133,2001,3419.35,0.5,17.83333333,1,45,0.4,1.666666667,0.25,34,3520
134,2002,3153.95,4.5,22.96666667,85.05,72.58333333,65.7,7.75,1.5,105,3519
135,1997,3176.75,14.45,151.7,30.36666667,17.28333333,5.533333333,17.91666667,3.5,99.5,3517
136,1999,2601.309524,9.166666667,41.08333333,360.5857143,142.5666667,206.9714286,11.23333333,2,119.75,3494.666667
137,1999,543.1166667,1451.816667,20.16666667,417.7166667,164.4333333,666.5,18.91666667,5.666666667,188.5,3476.833333
138,1997,3062.833333,62.65,172.45,0.5,58.4,5.833333333,7.333333333,0,109,3479
139,1993,3263.933333,0.25,6.833333333,0,13.45,0,4.333333333,0,184.2,3473
140,1983,2984.733333,0,7.866666667,1,1,0,16.56666667,0,453.8333333,3465
141,1994,2968.585714,2.916666667,223.4642857,0.533333333,2.75,0,2.75,0,254,3455
142,1997,3321.166667,0,0.666666667,0.333333333,74.16666667,1,2.666666667,3,17,3420
143,1997,3232.583333,0,20.5,1,16.35,0.333333333,20.9,0.333333333,104,3396
144,1989,3060.144444,1.5,78.78968254,0,71.75,0,64.08253968,2.9,104.8333333,3384
145,2001,7.033333333,987.9333333,1110.733333,0.5,1228.216667,2.333333333,5.25,0,29,3371
146,2002,3116.316667,3.833333333,48.33333333,0.416666667,40.23333333,2.7,33.16666667,5,105,3355
147,2000,2874.388095,4.033333333,15.96666667,153.0261905,84.46666667,95.25238095,7.533333333,0.5,114.5,3349.666667
148,1987,3042.169841,0,5.938888889,12.41666667,1.833333333,4.333333333,77.67460317,1,202.8333333,3348.2
149,1988,3129.111111,0.833333333,72.46111111,0,7.75,0,7.511111111,2,125.3333333,3345
150,2002,23.65,1981.3,692.6,22.08333333,544.3666667,32.33333333,29.33333333,0,17,3342.666667
151,1999,1,3251.916667,0,0.5,1.75,79.83333333,0.5,1.5,6,3343
152,2000,0.333333333,2483.033333,254.3333333,0.6,569.25,10,0.25,0,18.2,3336
153,2000,3013.85,5,23.83333333,12.28333333,10.33333333,11.86666667,116.3333333,2,136.5,3332
154,2002,3251.416667,0,24.16666667,1.333333333,13,2.25,0,3.833333333,24,3320
155,1997,3122.304762,0,22.53333333,19.25952381,3.333333333,6.652380952,45.66666667,0.25,94,3314
156,1996,2705.05,55.85,323.9,11.3,65.46666667,7.266666667,0.916666667,0.75,132.5,3303
157,1982,3088.283333,0,15.68333333,0,8.033333333,0,8,1.5,159.5,3281
158,1998,3131.733333,2.9,12.11666667,1.2,26.68333333,0.2,1.666666667,0.5,98,3275
159,1997,2827.283333,17.15,185.4833333,4.816666667,8.733333333,2.2,1.833333333,0.5,217,3265
160,1984,3015.933333,3.8,47.6,0,11.5,0,4.833333333,4.5,141.8333333,3230
161,1980,3084.933333,0,27.06666667,5.5,9.583333333,3,10,6.416666667,87.5,3234
162,1977,2957.833333,0,14.16666667,0,5,0,11.16666667,0,235.8333333,3224
163,1996,1.833333333,2135.166667,638.7833333,14.08333333,332.6666667,16.83333333,53.63333333,0,32,3225
164,2001,59.7,53.33333333,2835.283333,1.333333333,239.85,0,4.5,1.5,15.5,3211
165,2001,3129.6,0.333333333,5,11.16666667,54.5,0.4,0.5,1.5,4,3207
166,2001,3148.083333,0,23.58333333,1,7.666666667,2.5,0,5.166666667,14,3202
167,2000,2347.75,2.5,12,0,27,2.166666667,616.0833333,3,194.5,3205
168,1984,2992.216667,0,7.983333333,0,0,0,17.8,0,182,3200
169,2002,3074.216667,0,5.083333333,0.5,17.33333333,2.95,32.08333333,48.83333333,12,3193
170,1975,2913.416667,1,14.91666667,0,5,0,1.5,0,217.1666667,3153
171,1992,2896.7,0.5,36.83333333,0.2,22.01666667,0,50.25,1.5,144,3152
172,1997,3022.683333,1,13.78333333,1.033333333,26.75,0.666666667,13.58333333,0,71.5,3151
173,1992,2995.983333,1.333333333,61.91666667,0,8.833333333,2,3.533333333,4.45,63.95,3142
174,1989,2842.333333,6.916666667,126.2,0.5,7.666666667,2.833333333,9.9,3.083333333,141.5666667,3141
175,1983,2905.633333,0,10.56666667,0,1,0,31.3,0,185.5,3134
176,1995,2755.811905,0,1.5,0.2,0,0.6,330.9047619,10.23333333,34.75,3134
177,1997,2779.988095,21.83333333,66.3,20.80952381,22.31666667,14.50238095,22.41666667,2.833333333,182,3133
178,1970,2768.666667,0,38.35,0,20.56666667,0,11.91666667,2,223.5,3065
179,1960,2540.5,0,63.83333333,0,10.16666667,0,27.5,0,193,2835
180,2001,2846.721429,0,3.5,47.32619048,42.75,39.95238095,83.58333333,10.16666667,44.5,3118.5
181,1998,2941.8,2.5,41.91666667,0.833333333,21.03333333,1.5,19.41666667,1,92,3122
182,1986,2928.583333,2.333333333,17.08333333,0,53.41666667,0.5,9.5,3.333333333,99.25,3114
183,2002,2905.133333,11.58333333,29,0.916666667,78.28333333,0.333333333,27.41666667,3.333333333,43,3099
184,2000,2928.066667,3.133333333,25.25,0,7.1,0.4,14.05,0,118,3096
185,2000,2843.283333,2.4,22.28333333,23.38333333,43.18333333,28.46666667,4,1.5,102.5,3071
186,1999,1,2973.983333,0,0.5,1.933333333,81.25,0.833333333,2.5,11,3073
187,1995,1328.972222,316.4,1206.172222,55.17222222,53.01666667,29.36666667,5.066666667,0,59.5,3053.666667
